iter	Passed	Remaining
0	22	45800
1	46	46456
2	66	44333
3	90	45165
4	105	42102
5	125	41680
6	148	42154
7	165	41161
8	182	40441
9	202	40232
10	224	40576
11	245	40739
12	265	40563
13	275	39150
14	299	39623
15	317	39323
16	331	38711
17	350	38637
18	364	37989
19	383	38013
20	400	37710
21	419	37681
22	436	37532
23	451	37186
24	470	37207
25	492	37421
26	510	37313
27	529	37270
28	547	37233
29	564	37063
30	580	36875
31	598	36797
32	611	36472
33	629	36373
34	647	36361
35	667	36430
36	684	36328
37	699	36128
38	717	36059
39	733	35964
40	749	35832
41	763	35605
42	779	35488
43	795	35355
44	811	35269
45	827	35160
46	843	35054
47	864	35159
48	883	35172
49	901	35170
50	915	34974
51	931	34885
52	951	34951
53	968	34902
54	986	34901
55	1000	34747
56	1017	34697
57	1034	34629
58	1049	34517
59	1061	34333
60	1082	34404
61	1098	34337
62	1116	34320
63	1135	34334
64	1151	34281
65	1165	34162
66	1182	34124
67	1202	34168
68	1216	34046
69	1237	34124
70	1253	34055
71	1269	34002
72	1288	33999
73	1303	33923
74	1323	33967
75	1340	33944
76	1357	33901
77	1374	33871
78	1391	33845
79	1409	33829
80	1432	33949
81	1448	33876
82	1473	34025
83	1496	34133
84	1519	34236
85	1539	34267
86	1558	34267
87	1582	34377
88	1603	34427
89	1623	34451
90	1643	34473
91	1665	34544
92	1685	34559
93	1702	34513
94	1722	34541
95	1737	34466
96	1762	34575
97	1781	34571
98	1797	34509
99	1818	34555
100	1838	34560
101	1856	34537
102	1873	34511
103	1890	34457
104	1896	34223
105	1923	34360
106	1939	34319
107	1958	34310
108	1978	34328
109	1994	34263
110	2012	34254
111	2026	34162
112	2041	34091
113	2047	33879
114	2074	33999
115	2099	34091
116	2112	34001
117	2128	33948
118	2144	33893
119	2164	33915
120	2183	33905
121	2202	33904
122	2226	33976
123	2241	33918
124	2261	33916
125	2281	33932
126	2302	33960
127	2329	34066
128	2347	34054
129	2365	34027
130	2387	34060
131	2417	34205
132	2440	34255
133	2459	34247
134	2478	34236
135	2496	34213
136	2519	34257
137	2541	34294
138	2567	34369
139	2589	34402
140	2613	34452
141	2634	34466
142	2648	34387
143	2671	34430
144	2690	34424
145	2708	34391
146	2728	34394
147	2745	34358
148	2769	34410
149	2790	34411
150	2813	34448
151	2826	34365
152	2843	34330
153	2865	34353
154	2884	34338
155	2899	34277
156	2920	34284
157	2936	34235
158	2958	34252
159	2979	34263
160	3004	34321
161	3025	34329
162	3044	34315
163	3063	34300
164	3085	34309
165	3101	34261
166	3121	34266
167	3140	34246
168	3152	34154
169	3170	34133
170	3188	34102
171	3218	34207
172	3246	34285
173	3265	34272
174	3291	34329
175	3309	34301
176	3332	34323
177	3351	34300
178	3370	34290
179	3394	34319
180	3416	34336
181	3422	34184
182	3443	34192
183	3448	34032
184	3466	34012
185	3493	34071
186	3518	34108
187	3539	34110
188	3556	34077
189	3580	34108
190	3601	34110
191	3624	34134
192	3643	34115
193	3663	34103
194	3681	34073
195	3697	34033
196	3709	33952
197	3723	33888
198	3743	33881
199	3766	33895
200	3789	33915
201	3811	33926
202	3825	33860
203	3844	33849
204	3866	33859
205	3885	33836
206	3902	33798
207	3910	33690
208	3930	33684
209	3948	33654
210	3966	33632
211	3986	33620
212	4001	33573
213	4017	33528
214	4032	33475
215	4056	33500
216	4080	33526
217	4097	33494
218	4115	33468
219	4139	33494
220	4162	33508
221	4185	33524
222	4205	33511
223	4221	33471
224	4240	33454
225	4263	33463
226	4286	33482
227	4307	33479
228	4329	33485
229	4344	33435
230	4363	33418
231	4378	33370
232	4399	33362
233	4418	33343
234	4431	33285
235	4450	33264
236	4471	33262
237	4487	33226
238	4507	33214
239	4533	33243
240	4555	33245
241	4573	33221
242	4594	33219
243	4612	33196
244	4636	33211
245	4653	33181
246	4672	33162
247	4691	33140
248	4713	33146
249	4735	33145
250	4752	33116
251	4774	33119
252	4796	33121
253	4818	33124
254	4831	33061
255	4854	33070
256	4874	33056
257	4898	33074
258	4927	33122
259	4942	33077
260	4964	33074
261	4991	33108
262	5014	33115
263	5041	33153
264	5062	33146
265	5075	33083
266	5096	33079
267	5115	33062
268	5137	33062
269	5158	33053
270	5187	33096
271	5206	33075
272	5229	33079
273	5251	33083
274	5273	33079
275	5300	33111
276	5321	33102
277	5343	33101
278	5367	33107
279	5388	33102
280	5404	33061
281	5437	33125
282	5459	33125
283	5488	33162
284	5514	33185
285	5551	33267
286	5581	33314
287	5599	33288
288	5622	33285
289	5640	33261
290	5658	33234
291	5673	33185
292	5689	33144
293	5710	33135
294	5728	33108
295	5748	33092
296	5769	33084
297	5788	33061
298	5805	33024
299	5823	33000
300	5841	32970
301	5857	32934
302	5876	32913
303	5903	32932
304	5927	32939
305	5951	32947
306	5977	32966
307	5996	32942
308	6014	32911
309	6040	32928
310	6065	32939
311	6083	32914
312	6108	32922
313	6128	32903
314	6140	32845
315	6163	32843
316	6184	32831
317	6205	32824
318	6224	32798
319	6243	32776
320	6270	32798
321	6290	32779
322	6311	32769
323	6330	32748
324	6353	32744
325	6373	32726
326	6384	32666
327	6403	32640
328	6423	32625
329	6445	32619
330	6470	32626
331	6489	32605
332	6510	32590
333	6533	32590
334	6552	32569
335	6576	32570
336	6598	32563
337	6619	32550
338	6645	32562
339	6664	32539
340	6681	32505
341	6700	32482
342	6714	32438
343	6737	32434
344	6754	32402
345	6768	32353
346	6787	32335
347	6803	32299
348	6820	32264
349	6838	32239
350	6858	32222
351	6881	32219
352	6901	32200
353	6922	32189
354	6941	32164
355	6961	32146
356	6981	32132
357	7007	32141
358	7026	32117
359	7045	32095
360	7066	32083
361	7083	32050
362	7099	32014
363	7118	31992
364	7139	31981
365	7161	31971
366	7175	31927
367	7202	31940
368	7228	31949
369	7246	31924
370	7263	31894
371	7283	31874
372	7306	31872
373	7330	31869
374	7352	31861
375	7372	31843
376	7390	31818
377	7414	31815
378	7437	31812
379	7458	31795
380	7483	31798
381	7511	31815
382	7529	31787
383	7550	31772
384	7571	31762
385	7598	31772
386	7625	31782
387	7643	31756
388	7666	31750
389	7687	31734
390	7705	31707
391	7732	31717
392	7755	31714
393	7774	31688
394	7791	31660
395	7814	31654
396	7838	31648
397	7863	31650
398	7887	31649
399	7912	31648
400	7934	31637
401	7956	31629
402	7977	31612
403	7997	31594
404	8022	31595
405	8046	31590
406	8065	31568
407	8087	31555
408	8106	31532
409	8123	31502
410	8144	31487
411	8156	31436
412	8176	31420
413	8200	31415
414	8230	31433
415	8253	31426
416	8272	31404
417	8300	31415
418	8324	31412
419	8346	31396
420	8368	31385
421	8397	31401
422	8425	31410
423	8449	31408
424	8469	31387
425	8498	31399
426	8519	31384
427	8542	31375
428	8564	31362
429	8586	31352
430	8604	31321
431	8627	31312
432	8642	31275
433	8661	31253
434	8678	31222
435	8698	31202
436	8721	31192
437	8748	31198
438	8770	31187
439	8797	31192
440	8819	31179
441	8841	31165
442	8869	31174
443	8892	31165
444	8908	31130
445	8928	31109
446	8952	31103
447	8972	31085
448	8994	31069
449	9023	31080
450	9051	31089
451	9072	31072
452	9090	31044
453	9114	31036
454	9137	31026
455	9159	31013
456	9188	31025
457	9210	31011
458	9229	30985
459	9247	30959
460	9263	30923
461	9289	30926
462	9309	30905
463	9329	30883
464	9351	30870
465	9371	30850
466	9402	30865
467	9428	30863
468	9451	30854
469	9472	30837
470	9499	30837
471	9527	30843
472	9550	30830
473	9579	30841
474	9603	30833
475	9622	30806
476	9642	30787
477	9663	30769
478	9683	30747
479	9701	30720
480	9718	30692
481	9741	30680
482	9761	30657
483	9785	30651
484	9811	30647
485	9838	30650
486	9862	30640
487	9882	30618
488	9900	30592
489	9923	30581
490	9947	30572
491	9965	30543
492	9978	30503
493	10003	30495
494	10026	30484
495	10052	30480
496	10080	30485
497	10094	30444
498	10115	30428
499	10141	30423
500	10163	30408
501	10186	30396
502	10212	30393
503	10232	30372
504	10256	30361
505	10278	30349
506	10299	30328
507	10320	30312
508	10342	30296
509	10363	30278
510	10383	30255
511	10398	30220
512	10422	30211
513	10446	30202
514	10474	30201
515	10497	30191
516	10519	30174
517	10544	30168
518	10568	30157
519	10586	30129
520	10611	30123
521	10636	30116
522	10656	30095
523	10681	30088
524	10714	30103
525	10742	30104
526	10768	30097
527	10793	30091
528	10816	30078
529	10846	30084
530	10871	30075
531	10894	30061
532	10919	30054
533	10946	30050
534	10958	30008
535	10980	29991
536	11013	30005
537	11038	29995
538	11057	29971
539	11079	29956
540	11102	29942
541	11125	29927
542	11156	29934
543	11186	29939
544	11215	29943
545	11239	29930
546	11261	29914
547	11285	29903
548	11316	29909
549	11337	29888
550	11355	29863
551	11377	29846
552	11398	29826
553	11424	29819
554	11441	29788
555	11463	29772
556	11482	29747
557	11498	29714
558	11517	29689
559	11540	29675
560	11556	29644
561	11574	29616
562	11597	29601
563	11624	29597
564	11639	29563
565	11663	29549
566	11682	29525
567	11713	29532
568	11739	29525
569	11771	29531
570	11799	29530
571	11821	29511
572	11838	29482
573	11863	29473
574	11887	29460
575	11910	29444
576	11930	29423
577	11947	29392
578	11971	29380
579	11993	29364
580	12019	29355
581	12037	29329
582	12063	29320
583	12090	29314
584	12109	29290
585	12129	29267
586	12143	29232
587	12169	29222
588	12188	29197
589	12213	29188
590	12242	29188
591	12266	29173
592	12289	29158
593	12310	29138
594	12329	29114
595	12349	29092
596	12369	29069
597	12394	29058
598	12421	29053
599	12444	29037
600	12471	29030
601	12491	29008
602	12503	28967
603	12519	28936
604	12535	28903
605	12557	28886
606	12578	28865
607	12603	28855
608	12622	28830
609	12642	28808
610	12666	28795
611	12682	28763
612	12710	28760
613	12733	28743
614	12761	28739
615	12780	28715
616	12804	28701
617	12826	28682
618	12846	28661
619	12866	28639
620	12883	28610
621	12906	28593
622	12922	28561
623	12944	28544
624	12964	28522
625	12985	28502
626	13006	28481
627	13028	28462
628	13047	28438
629	13070	28424
630	13101	28424
631	13134	28429
632	13162	28425
633	13192	28425
634	13211	28399
635	13240	28395
636	13261	28375
637	13286	28363
638	13312	28355
639	13331	28328
640	13350	28305
641	13369	28279
642	13392	28262
643	13409	28235
644	13432	28218
645	13455	28201
646	13473	28176
647	13488	28142
648	13513	28129
649	13531	28104
650	13547	28072
651	13564	28043
652	13588	28030
653	13612	28015
654	13632	27993
655	13653	27972
656	13675	27953
657	13694	27930
658	13714	27907
659	13730	27876
660	13752	27857
661	13771	27834
662	13796	27820
663	13813	27794
664	13832	27768
665	13854	27749
666	13875	27729
667	13892	27702
668	13915	27685
669	13932	27657
670	13959	27647
671	13980	27628
672	14005	27616
673	14026	27594
674	14046	27572
675	14065	27549
676	14085	27525
677	14102	27498
678	14115	27460
679	14140	27449
680	14166	27438
681	14188	27420
682	14213	27406
683	14244	27405
684	14274	27402
685	14293	27379
686	14314	27357
687	14338	27344
688	14363	27329
689	14377	27296
690	14406	27291
691	14433	27282
692	14456	27264
693	14479	27247
694	14504	27234
695	14533	27228
696	14556	27213
697	14581	27199
698	14599	27172
699	14619	27150
700	14644	27136
701	14663	27112
702	14681	27087
703	14703	27068
704	14724	27046
705	14748	27032
706	14772	27016
707	14787	26984
708	14805	26958
709	14824	26935
710	14839	26902
711	14862	26885
712	14883	26865
713	14909	26853
714	14930	26833
715	14950	26811
716	14977	26799
717	15005	26792
718	15027	26774
719	15051	26758
720	15076	26744
721	15100	26729
722	15127	26718
723	15153	26706
724	15170	26679
725	15186	26649
726	15206	26626
727	15226	26604
728	15248	26585
729	15271	26567
730	15292	26546
731	15313	26526
732	15335	26506
733	15355	26485
734	15379	26468
735	15399	26447
736	15421	26427
737	15444	26409
738	15464	26387
739	15479	26356
740	15499	26334
741	15518	26311
742	15535	26282
743	15559	26267
744	15578	26243
745	15599	26221
746	15621	26202
747	15642	26181
748	15661	26158
749	15681	26136
750	15709	26127
751	15730	26105
752	15755	26092
753	15775	26070
754	15797	26049
755	15821	26034
756	15845	26018
757	15867	25999
758	15883	25970
759	15901	25944
760	15928	25934
761	15951	25915
762	15974	25897
763	15995	25878
764	16023	25867
765	16045	25848
766	16066	25827
767	16084	25802
768	16108	25785
769	16128	25762
770	16146	25738
771	16170	25722
772	16191	25701
773	16216	25686
774	16243	25674
775	16266	25657
776	16286	25635
777	16306	25612
778	16327	25591
779	16357	25584
780	16382	25569
781	16401	25546
782	16422	25524
783	16444	25505
784	16465	25484
785	16491	25470
786	16512	25451
787	16534	25431
788	16554	25408
789	16578	25392
790	16601	25374
791	16618	25347
792	16632	25315
793	16654	25295
794	16670	25267
795	16693	25250
796	16718	25235
797	16733	25205
798	16756	25187
799	16776	25164
800	16798	25145
801	16812	25113
802	16831	25089
803	16856	25074
804	16878	25056
805	16894	25028
806	16912	25001
807	16937	24986
808	16963	24973
809	16988	24957
810	17010	24939
811	17031	24918
812	17051	24895
813	17078	24882
814	17104	24870
815	17126	24850
816	17154	24839
817	17176	24819
818	17196	24797
819	17222	24783
820	17246	24766
821	17268	24747
822	17293	24731
823	17316	24713
824	17343	24701
825	17365	24681
826	17386	24661
827	17407	24639
828	17430	24621
829	17448	24596
830	17469	24574
831	17488	24551
832	17507	24527
833	17524	24500
834	17543	24476
835	17557	24446
836	17580	24427
837	17600	24405
838	17625	24390
839	17647	24370
840	17669	24351
