iter	Passed	Remaining
0	10	43397
1	20	40483
2	30	40302
3	39	39130
4	46	37509
5	55	37192
6	64	36814
7	72	35967
8	81	36302
9	85	34220
10	94	34338
11	104	34733
12	112	34559
13	121	34733
14	131	34999
15	141	35165
16	150	35272
17	159	35377
18	169	35425
19	178	35514
20	181	34331
21	190	34522
22	201	34824
23	210	34904
24	219	34897
25	229	35148
26	241	35559
27	251	35696
28	260	35660
29	270	35755
30	278	35693
31	287	35650
32	296	35588
33	304	35573
34	313	35511
35	323	35638
36	333	35768
37	344	35966
38	353	35886
39	364	36065
40	375	36252
41	384	36242
42	395	36380
43	405	36496
44	416	36581
45	426	36621
46	435	36646
47	446	36756
48	456	36818
49	466	36839
50	484	37523
51	496	37731
52	505	37660
53	514	37589
54	525	37727
55	535	37731
56	546	37833
57	558	37944
58	569	38034
59	581	38156
60	592	38275
61	604	38395
62	615	38442
63	627	38583
64	638	38670
65	649	38735
66	661	38832
67	673	38932
68	684	39021
69	697	39160
70	709	39256
71	721	39353
72	733	39471
73	743	39453
74	754	39480
75	765	39510
76	774	39473
77	784	39422
78	787	39107
79	797	39081
80	807	39084
81	819	39153
82	829	39155
83	840	39195
84	850	39181
85	861	39190
86	870	39174
87	881	39186
88	890	39122
89	900	39138
90	911	39167
91	921	39157
92	932	39168
93	942	39155
94	952	39163
95	961	39115
96	971	39086
97	979	39018
98	988	38948
99	998	38953
100	1008	38942
101	1018	38921
102	1028	38923
103	1039	38945
104	1049	38919
105	1060	38946
106	1071	38986
107	1081	38958
108	1091	38981
109	1102	38990
110	1112	38961
111	1122	38966
112	1133	38979
113	1144	39008
114	1154	38987
115	1162	38936
116	1175	39003
117	1187	39061
118	1198	39073
119	1208	39063
120	1218	39058
121	1228	39059
122	1240	39092
123	1250	39101
124	1260	39077
125	1270	39058
126	1281	39073
127	1292	39088
128	1303	39110
129	1311	39047
130	1323	39078
131	1333	39084
132	1342	39047
133	1352	39028
134	1365	39082
135	1374	39050
136	1385	39067
137	1395	39063
138	1403	38995
139	1408	38839
140	1417	38789
141	1428	38800
142	1432	38650
143	1443	38666
144	1454	38681
145	1464	38670
146	1475	38672
147	1485	38672
148	1492	38573
149	1502	38560
150	1513	38569
151	1522	38539
152	1533	38559
153	1544	38563
154	1555	38576
155	1565	38582
156	1569	38405
157	1577	38370
158	1588	38377
159	1599	38378
160	1608	38355
161	1619	38370
162	1630	38384
163	1639	38349
164	1649	38344
165	1659	38321
166	1663	38181
167	1672	38152
168	1681	38117
169	1691	38100
170	1702	38118
171	1713	38137
172	1733	38342
173	1744	38364
174	1754	38344
175	1760	38258
176	1768	38197
177	1778	38189
178	1789	38202
179	1799	38194
180	1809	38173
181	1812	38020
182	1823	38035
183	1826	37884
184	1837	37882
185	1844	37828
186	1853	37795
187	1864	37809
188	1875	37817
189	1884	37796
190	1896	37815
191	1902	37724
192	1912	37725
193	1923	37742
194	1927	37602
195	1936	37586
196	1946	37573
197	1949	37436
198	1955	37358
199	1967	37374
200	1975	37341
201	1986	37353
202	1992	37260
203	2002	37266
204	2011	37241
205	2023	37263
206	2028	37165
207	2035	37101
208	2044	37091
209	2048	36975
210	2059	36981
211	2069	36980
212	2080	36988
213	2091	37004
214	2097	36927
215	2107	36922
216	2118	36940
217	2129	36936
218	2139	36942
219	2148	36912
220	2154	36837
221	2162	36804
222	2173	36812
223	2184	36818
224	2194	36811
225	2202	36778
226	2208	36701
227	2219	36715
228	2230	36726
229	2239	36707
230	2250	36720
231	2261	36725
232	2271	36721
233	2282	36733
234	2292	36725
235	2299	36678
236	2308	36646
237	2314	36591
238	2326	36607
239	2337	36616
240	2345	36591
241	2356	36591
242	2368	36617
243	2379	36623
244	2389	36628
245	2400	36636
246	2414	36680
247	2425	36688
248	2432	36647
249	2444	36662
250	2456	36689
251	2462	36631
252	2471	36608
253	2481	36600
254	2487	36529
